label,column,delta,p,delta_abs,p_abs,p_fdr,p_fdr_abs,univariate_flag,nonlinear_flag
broad,CLN_Time,0.004319863744975505,0.3012670210746834,-0.00538981581175435,0.19713611515568197,0.3916471273970884,0.2745824461096999,False,False
broad,Coating_Flow,0.003102463637325137,0.4578433112259681,-0.00039821134807305203,0.9240846649037878,0.5579965355566486,0.9240846649037878,False,False
broad,Laser_Head_Remain_Time,-0.0011895568733690798,0.7759088473311051,-0.005886822167144534,0.15892837382472091,0.8208725079234418,0.229563206635708,False,False
broad,Vibration,0.31707582414833313,0.0,0.19500342581854269,0.0,0.0,0.0,True,False
broad,Kerf_Width_Profile,0.12305580980724562,1.3919328090433623e-190,0.1262559582955538,1.6293089572418813e-200,7.755054221813018e-190,1.2708609866486675e-199,False,False
broad,Top_Kerf,0.1276587209809925,6.0027796376812575e-205,0.1231728296627499,6.094385035875186e-191,3.901806764492817e-204,3.961350273318871e-190,False,False
broad,Bottom_Kerf,0.130317046380382,1.746643471423987e-213,0.12217286433457186,6.903194769837939e-188,1.3623819077107098e-212,3.8460656574811373e-187,False,False
broad,Kerf_Angle,0.10294210579853313,5.530883113394051e-134,0.09376005698527279,1.742201125147279e-111,1.5407460101597714e-133,3.9968143459261104e-111,False,False
broad,Groove_Depth,-0.11063926026606707,1.8622538845585765e-154,0.1016499734137859,1.0849224956403917e-130,6.052325124815374e-154,3.022284094998234e-130,False,False
broad,Package_Size_1,-0.10195090515199168,1.871165294732312e-131,0.09594008287077083,1.2260180837093737e-116,4.865029766304011e-131,3.1876470176443714e-116,False,False
broad,Package_Size_2,-0.09285241511834585,2.2456251912726138e-109,0.09313273535561373,5.03104059917875e-110,4.8655212477573295e-109,1.090058796488729e-109,False,False
broad,Package_Size_3,0.09018777770219821,2.6820772977802995e-103,0.07906186348501909,7.935296533800342e-80,5.505316558601667e-103,1.5473828240910667e-79,False,False
broad,Package_Size_4,0.10526116579818146,5.361989220625859e-140,0.09268286506461099,5.534419398129551e-109,1.6085967661877577e-139,1.1360124027739606e-108,False,False
broad,Coating_Thickness,-0.03039803301840638,3.4877389097987776e-13,0.026861300480105488,1.294938512501225e-10,5.667575728423013e-13,2.1042750828144906e-10,False,False
broad,Coating_Uniformity,-0.0021119482595352013,0.6132934988280279,0.0011819584059842292,0.7773023744513754,0.7034837192439143,0.7977577000948327,False,False
broad,Surface_Roughness,0.5513476751852491,0.0,0.37502472897464356,0.0,0.0,0.0,True,True
