column,label,n_group,cliffs_delta_opcond,p_opcond,cliffs_delta_group,p_group,delta_shrinkage,p_fdr_opcond,flag_opcond,p_fdr_group,flag_group,stratum_verdict
Laser_Voltage,is_particle_broad,7792,-0.005223829835126814,0.44312270235669593,-0.004966183443039784,0.4659376447233755,0.04932136004020027,0.695094435069327,False,0.703302105242831,False,양쪽 모두 미달
Laser_Current,is_particle_primary,6455,-0.005013984206476918,0.499778505392804,-0.004731376255163955,0.5242539924272489,0.05636394924178234,0.7139692934182915,False,0.7489342748960699,False,양쪽 모두 미달
Cutting_X_Index,is_particle_broad,7792,-0.004702315624419917,0.4899645695650626,-0.003915412338001301,0.5654016595044928,0.16734378320589438,0.7139692934182915,False,0.7661396392163511,False,양쪽 모두 미달
Kerf_Angle,is_particle_primary,6455,-0.004699324345445066,0.5270681625470579,-0.004762096670855032,0.5215639825235452,-0.013357734175298841,0.7267169126797324,False,0.7489342748960699,False,양쪽 모두 미달
Laser_Power,is_particle_broad,7792,-0.004596641841532412,0.4997704974709305,-0.001628080516382746,0.8110864253542258,0.6458108827030165,0.7139692934182915,False,0.8823930672439465,False,양쪽 모두 미달
Coating_Flow,is_particle_primary,6455,0.004395496950129196,0.5541216459182959,0.004456599939743233,0.5486267397152846,-0.013901269937689475,0.7267169126797324,False,0.7567265375383236,False,양쪽 모두 미달
Laser_Current,is_particle_broad,7792,-0.004177333003216321,0.5396842940022066,-0.0037371371519296925,0.5832363359642032,0.10537724690554995,0.7267169126797324,False,0.7661396392163511,False,양쪽 모두 미달
Focus,is_particle_broad,7792,0.0041702917958719166,0.5403679469468482,0.001294207035179129,0.8493033272222985,0.6896603167048797,0.7267169126797324,False,0.8823930672439465,False,양쪽 모두 미달
Coating_Flow,is_particle_broad,7792,0.0040838111834291535,0.5487994340426743,0.004133453156616618,0.5439516233566939,-0.012155795397420954,0.7267169126797324,False,0.7567265375383236,False,양쪽 모두 미달
Laser_Centering_Position,is_particle_broad,7792,0.0038721949967772673,0.5697009843229993,0.003727761865771839,0.5841814749024676,0.037300066532195864,0.7350980442877411,False,0.7661396392163511,False,양쪽 모두 미달
Package_Size_3,is_particle_primary,6455,-0.0038525073924623454,0.60409976241635,-0.0049384351690962,0.5062613856489415,-0.28187558543262914,0.7515623563267565,False,0.7489342748960699,False,양쪽 모두 미달
Cleaning_Load_Ratio,is_particle_primary,6455,-0.0037843527839797053,0.6105135055630548,0.0003591108948628463,0.9614508821118957,0.9051063906137213,0.7515623563267565,False,0.9614508821118957,False,양쪽 모두 미달
Frequency,is_particle_primary,6455,-0.0037829649829905776,0.6106444145154897,-0.0038806774340205408,0.6014579491397956,-0.02582959437089949,0.7515623563267565,False,0.7760747730836072,False,양쪽 모두 미달
Cooling_Thermal_Load,is_particle_broad,7792,0.00336533662978189,0.6212510576932908,0.0026067665827211872,0.7019352354389556,0.22540688510850881,0.7530315850827768,False,0.8602121424540247,False,양쪽 모두 미달
Package_Size_2,is_particle_primary,6455,-0.0030030887266466744,0.6860733650923208,-0.0023939732671935943,0.7472952775308267,0.20282965802786457,0.7948965974258336,False,0.8664293072821179,False,양쪽 모두 미달
Coating_Thickness,is_particle_primary,6455,0.0029643197276532085,0.6899143415487992,0.002765528000520323,0.7097322692244621,0.06706149990448729,0.7948965974258336,False,0.8602121424540247,False,양쪽 모두 미달
Cutting_Offset,is_particle_broad,7792,0.002934964230054238,0.6665458872082602,0.0026056559119440603,0.702056156168037,0.11220181654619077,0.7948965974258336,False,0.8602121424540247,False,양쪽 모두 미달
Cutting_X_Index,is_particle_primary,6455,-0.0029077345436459012,0.6955345227476044,-0.0025525883212985656,0.7311803210859209,0.12213846106530446,0.7948965974258336,False,0.8602121424540247,False,양쪽 모두 미달
Feed_Speed,is_particle_primary,6455,0.002787948107670024,0.707487015378554,0.0019693873127746286,0.7909616201512698,0.2936068977193024,0.7971684680321736,False,0.878846244612522,False,양쪽 모두 미달
CLN_Time,is_particle_primary,6455,-0.002479195509321075,0.7386226788805654,-0.0027688550795027522,0.7093989192812237,-0.116836114413986,0.8206918654228504,False,0.8602121424540247,False,양쪽 모두 미달
Package_Size_2,is_particle_broad,7792,0.0015033638793964244,0.8253146135840975,0.0020569427935626106,0.7626613992805074,-0.3682268290152342,0.8929520767528449,False,0.8716130277491513,False,양쪽 모두 미달
CLN_Time,is_particle_broad,7792,-0.0014975391209981481,0.8259806709963816,-0.00186419130830362,0.7843236111174521,-0.24483646681703286,0.8929520767528449,False,0.878846244612522,False,양쪽 모두 미달
Laser_Voltage,is_particle_primary,6455,-0.0011217489405906944,0.8799935551950508,-0.0008384785544379714,0.9101481555299329,0.252525655164477,0.9326344449783176,False,0.9334852877230081,False,양쪽 모두 미달
Cleaning_Capacity,is_particle_primary,6455,0.0009968137298232982,0.8932743187616083,-0.0026588726791543227,0.7204474803310317,-1.6673716458797694,0.9326344449783176,False,0.8602121424540247,False,양쪽 모두 미달
CLN_Flow,is_particle_primary,6455,-0.0009556135949680966,0.8976606532916307,-0.008009380408547595,0.28103697801344385,-7.381400652650813,0.9326344449783176,False,0.5916567958177765,False,양쪽 모두 미달
Package_Size_3,is_particle_broad,7792,-0.0007564266473156778,0.9115736703871442,-0.0013173112142496057,0.8466461021049618,-0.7414923428786286,0.9349473542432248,False,0.8823930672439465,False,양쪽 모두 미달
Coating_Uniformity,is_particle_broad,7792,0.0003019187313675342,0.9646448118826108,0.00047349788096262557,0.944578996299257,-0.5682958086698608,0.9721289221990295,False,0.9565356924549437,False,양쪽 모두 미달
Cooling_Thermal_Load,is_particle_primary,6455,-0.00025958999672048844,0.9721289221990295,-0.001523747523062946,0.8375073711086557,-4.869823730933783,0.9721289221990295,False,0.8823930672439465,False,양쪽 모두 미달
